Category,category,FDR,inputGenes
Cellular metabolic process,Process,2.25e-29,"['3702.A0A1P8AW96', '3702.F4I2N7', '3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O49506', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P32961', '3702.P32962', '3702.P37702', '3702.P42699', '3702.P46010', '3702.P46014', '3702.P46283', '3702.P46422', '3702.P49107', '3702.P50318', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q03250', '3702.Q06402', '3702.Q06429', '3702.Q07473', '3702.Q07488', '3702.Q24JJ8', '3702.Q37001', '3702.Q38814', '3702.Q38833', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q39195', '3702.Q3E9D5', '3702.Q41931', '3702.Q41932', '3702.Q42029', '3702.Q42547', '3702.Q43309', '3702.Q52T38', '3702.Q8GY23', '3702.Q8L5Y5', '3702.Q8L785', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8RY71', '3702.Q8VYI3', '3702.Q8VZ87', '3702.Q8W0Y8', '3702.Q8W493', '3702.Q944G9', '3702.Q949Q5', '3702.Q96253', '3702.Q96528', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9FF79', '3702.Q9FG67', '3702.Q9FKW6', '3702.Q9FN52', '3702.Q9LJH5', '3702.Q9LKL2', '3702.Q9LMQ2', '3702.Q9LPW0', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9LRS0', '3702.Q9LUT2', '3702.Q9M2Y8', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SAR0', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SI62', '3702.Q9SIV0', '3702.Q9SKI3', '3702.Q9STR4', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SWA6', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9T065', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XIE2', '3702.Q9ZR03']"
metabolic process,Process,7.98e-24,"['3702.A0A1P8AW96', '3702.B3H6T0', '3702.F4I2N7', '3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O49506', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P32961', '3702.P32962', '3702.P37702', '3702.P42699', '3702.P46010', '3702.P46014', '3702.P46283', '3702.P46422', '3702.P49107', '3702.P50318', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.P93002', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q03250', '3702.Q06402', '3702.Q06429', '3702.Q07473', '3702.Q07488', '3702.Q24JJ8', '3702.Q37001', '3702.Q38814', '3702.Q38833', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q39195', '3702.Q3E9D5', '3702.Q41931', '3702.Q41932', '3702.Q42029', '3702.Q42547', '3702.Q43309', '3702.Q52T38', '3702.Q84W27', '3702.Q8GY23', '3702.Q8L5Y5', '3702.Q8L785', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RX87', '3702.Q8RY71', '3702.Q8VYI3', '3702.Q8VZ87', '3702.Q8W0Y8', '3702.Q8W493', '3702.Q944G9', '3702.Q949Q5', '3702.Q94C26', '3702.Q96253', '3702.Q96528', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9FF79', '3702.Q9FG67', '3702.Q9FKW6', '3702.Q9FN52', '3702.Q9LJH5', '3702.Q9LKL2', '3702.Q9LMQ2', '3702.Q9LPW0', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9LRS0', '3702.Q9LUT2', '3702.Q9M2Y8', '3702.Q9S714', '3702.Q9S745', '3702.Q9S7H1', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SAR0', '3702.Q9SE33', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SI62', '3702.Q9SIV0', '3702.Q9SKI3', '3702.Q9STR4', '3702.Q9SU72', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SWA6', '3702.Q9SY97', '3702.Q9SYJ4', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9T065', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XIE2', '3702.Q9ZR03']"
response to light stimulus,Process,2.54e-22,"['3702.F4K8I1', '3702.O49347', '3702.O80860', '3702.O81208', '3702.P04778', '3702.P0CJ48', '3702.P16972', '3702.P23321', '3702.P25819', '3702.P25856', '3702.P25857', '3702.P27521', '3702.P92973', '3702.Q01667', '3702.Q07473', '3702.Q07488', '3702.Q39141', '3702.Q39142', '3702.Q42547', '3702.Q6R0H1', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RWS6', '3702.Q8VZ87', '3702.Q94C26', '3702.Q96528', '3702.Q9C639', '3702.Q9C7X0', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9S745', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7W1', '3702.Q9S841', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9ZR03']"
electron transport chain,Process,6.47e-22,"['3702.P11490', '3702.P16972', '3702.P25851', '3702.P26288', '3702.P42699', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P62090', '3702.P62095', '3702.P83755', '3702.Q01908', '3702.Q07488', '3702.Q41932', '3702.Q8LCA1', '3702.Q949Q5', '3702.Q9FKW6', '3702.Q9S7N7', '3702.Q9SGH4', '3702.Q9XFT3', '3702.Q9ZR03']"
photosynthetic electron transport chain,Process,5.62e-21,"['3702.P16972', '3702.P25851', '3702.P56761', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P62090', '3702.P62095', '3702.P83755', '3702.Q01908', '3702.Q41932', '3702.Q8LCA1', '3702.Q949Q5', '3702.Q9FKW6', '3702.Q9S7N7', '3702.Q9SGH4', '3702.Q9XFT3', '3702.Q9ZR03']"
cellular process,Process,9.66e-19,"['3702.A0A1P8AW96', '3702.F4I2N7', '3702.F4K8I1', '3702.O03042', '3702.O22433', '3702.O23530', '3702.O48646', '3702.O49344', '3702.O49347', '3702.O49506', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P25860', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P32961', '3702.P32962', '3702.P37702', '3702.P42699', '3702.P46010', '3702.P46014', '3702.P46283', '3702.P46422', '3702.P49107', '3702.P50318', '3702.P54144', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.P93002', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q03250', '3702.Q06402', '3702.Q06429', '3702.Q07473', '3702.Q07488', '3702.Q24JJ8', '3702.Q37001', '3702.Q38814', '3702.Q38833', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q39195', '3702.Q39214', '3702.Q3E9D5', '3702.Q41931', '3702.Q41932', '3702.Q41963', '3702.Q42029', '3702.Q42044', '3702.Q42547', '3702.Q43309', '3702.Q52T38', '3702.Q6S591', '3702.Q8GY23', '3702.Q8L5Y5', '3702.Q8L785', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RY71', '3702.Q8VYI3', '3702.Q8VZ87', '3702.Q8W0Y8', '3702.Q8W493', '3702.Q8W4K5', '3702.Q940J8', '3702.Q944G9', '3702.Q949Q5', '3702.Q94C26', '3702.Q96253', '3702.Q96528', '3702.Q9C500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9C7X0', '3702.Q9FF79', '3702.Q9FG67', '3702.Q9FGT2', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9FMA3', '3702.Q9FN52', '3702.Q9LJH5', '3702.Q9LKL2', '3702.Q9LMQ2', '3702.Q9LPW0', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9LRS0', '3702.Q9LUT2', '3702.Q9M1P5', '3702.Q9M2Y8', '3702.Q9M8W5', '3702.Q9S714', '3702.Q9S745', '3702.Q9S7H1', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SAR0', '3702.Q9SE33', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SI62', '3702.Q9SIV0', '3702.Q9SKI3', '3702.Q9SPG2', '3702.Q9STR4', '3702.Q9SU72', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SWA6', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9T065', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XIE2', '3702.Q9ZR03', '3702.Q9ZUA5']"
response to abiotic stimulus,Process,1.17e-17,"['3702.F4K8I1', '3702.O49347', '3702.O80860', '3702.O81208', '3702.P04778', '3702.P0CJ48', '3702.P16972', '3702.P19366', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P25863', '3702.P27521', '3702.P33154', '3702.P46422', '3702.P92973', '3702.P93002', '3702.Q01667', '3702.Q03250', '3702.Q07473', '3702.Q07488', '3702.Q38814', '3702.Q39084', '3702.Q39141', '3702.Q39142', '3702.Q42044', '3702.Q42547', '3702.Q6R0H1', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RWS6', '3702.Q8VZ87', '3702.Q94C26', '3702.Q96528', '3702.Q9C639', '3702.Q9C7X0', '3702.Q9FG67', '3702.Q9FGT2', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9LUT2', '3702.Q9S745', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7W1', '3702.Q9S841', '3702.Q9SAR0', '3702.Q9SHR7', '3702.Q9SU72', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XIE2', '3702.Q9ZR03']"
response to cold,Process,2.36e-13,"['3702.P19366', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P25863', '3702.P27521', '3702.P46422', '3702.P92973', '3702.Q01667', '3702.Q03250', '3702.Q07488', '3702.Q38814', '3702.Q39084', '3702.Q42547', '3702.Q6R0H1', '3702.Q8LPS2', '3702.Q9C639', '3702.Q9LUT2', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87']"
response to high light intensity,Process,3.04e-13,"['3702.O49347', '3702.O80860', '3702.O81208', '3702.P23321', '3702.P27521', '3702.Q01667', '3702.Q9C639', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S841', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87']"
response to light intensity,Process,3.55e-12,"['3702.O49347', '3702.O80860', '3702.O81208', '3702.P16972', '3702.P23321', '3702.P27521', '3702.Q01667', '3702.Q07488', '3702.Q9C639', '3702.Q9LR64', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S841', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87']"
response to stimulus,Process,3.55e-12,"['3702.F4I2N7', '3702.F4K8I1', '3702.O03042', '3702.O23530', '3702.O48646', '3702.O49347', '3702.O49506', '3702.O80860', '3702.O81208', '3702.P04778', '3702.P0CJ48', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P25863', '3702.P27521', '3702.P32961', '3702.P32962', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46010', '3702.P46422', '3702.P56754', '3702.P83755', '3702.P92973', '3702.P93002', '3702.Q01667', '3702.Q03250', '3702.Q07473', '3702.Q07488', '3702.Q1PE40', '3702.Q24JJ8', '3702.Q37001', '3702.Q38814', '3702.Q39084', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39214', '3702.Q41931', '3702.Q42044', '3702.Q42547', '3702.Q6R0H1', '3702.Q8L9V6', '3702.Q8LBY9', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RWS6', '3702.Q8RY71', '3702.Q8VZ87', '3702.Q8W493', '3702.Q8W4K5', '3702.Q944G9', '3702.Q94C26', '3702.Q96528', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9C7X0', '3702.Q9FG67', '3702.Q9FGT2', '3702.Q9FMA3', '3702.Q9LJH5', '3702.Q9LKL2', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9LRS0', '3702.Q9LUT2', '3702.Q9LV87', '3702.Q9S745', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7W1', '3702.Q9S841', '3702.Q9SAR0', '3702.Q9SE33', '3702.Q9SHR7', '3702.Q9SIV0', '3702.Q9SPG2', '3702.Q9SU72', '3702.Q9SVB7', '3702.Q9SWA6', '3702.Q9SY97', '3702.Q9SYJ4', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XIE2', '3702.Q9XIF0', '3702.Q9ZQR8', '3702.Q9ZR03']"
response to temperature stimulus,Process,2.58e-11,"['3702.P19366', '3702.P22953', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P25863', '3702.P27521', '3702.P46422', '3702.P92973', '3702.P93002', '3702.Q01667', '3702.Q03250', '3702.Q07488', '3702.Q38814', '3702.Q39084', '3702.Q42547', '3702.Q6R0H1', '3702.Q8LPS2', '3702.Q9C639', '3702.Q9LUT2', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XIE2']"
response to low light intensity stimulus,Process,5.31e-09,"['3702.P27521', '3702.Q01667', '3702.Q9C639', '3702.Q9S7J7', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87']"
fruit ripening,Process,8.66e-09,"['3702.Q06402', '3702.Q37001', '3702.Q43309', '3702.Q9M2Y8', '3702.Q9SAR0', '3702.Q9STR4', '3702.Q9T065']"
response to stress,Process,8.7e-09,"['3702.F4I2N7', '3702.O23530', '3702.O48646', '3702.O49506', '3702.P19366', '3702.P22953', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P25863', '3702.P27521', '3702.P33154', '3702.P37702', '3702.P46010', '3702.P46422', '3702.P56754', '3702.P83755', '3702.P92973', '3702.P93002', '3702.Q01667', '3702.Q03250', '3702.Q07488', '3702.Q1PE40', '3702.Q24JJ8', '3702.Q38814', '3702.Q39084', '3702.Q39191', '3702.Q39214', '3702.Q41931', '3702.Q42044', '3702.Q42547', '3702.Q6R0H1', '3702.Q8L9V6', '3702.Q8LBY9', '3702.Q8LPS2', '3702.Q8RY71', '3702.Q8W493', '3702.Q94C26', '3702.Q96528', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9C7X0', '3702.Q9FG67', '3702.Q9FGT2', '3702.Q9LJH5', '3702.Q9LRR9', '3702.Q9LUT2', '3702.Q9LV87', '3702.Q9S745', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9SAR0', '3702.Q9SE33', '3702.Q9SHR7', '3702.Q9SIV0', '3702.Q9SPG2', '3702.Q9SU72', '3702.Q9SVB7', '3702.Q9SWA6', '3702.Q9SY97', '3702.Q9SYJ4', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XIE2', '3702.Q9XIF0', '3702.Q9ZQR8']"
reductive pentose-phosphate cycle,Process,1.25e-08,"['3702.O03042', '3702.P25697', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P46283', '3702.P50318', '3702.Q9LPW0']"
response to other organism,Process,1.46e-08,"['3702.F4I2N7', '3702.O23530', '3702.O49506', '3702.P19366', '3702.P22953', '3702.P33154', '3702.P37702', '3702.P46422', '3702.P93002', '3702.Q03250', '3702.Q07488', '3702.Q1PE40', '3702.Q24JJ8', '3702.Q39191', '3702.Q39214', '3702.Q8L9V6', '3702.Q8LBY9', '3702.Q8LPS2', '3702.Q8RY71', '3702.Q8W493', '3702.Q94C26', '3702.Q9C5C2', '3702.Q9C7X0', '3702.Q9FG67', '3702.Q9LJH5', '3702.Q9LRR9', '3702.Q9LRS0', '3702.Q9LV87', '3702.Q9S745', '3702.Q9S7H8', '3702.Q9SE33', '3702.Q9SIV0', '3702.Q9SPG2', '3702.Q9SU72', '3702.Q9SWA6', '3702.Q9XIE2', '3702.Q9XIF0', '3702.Q9ZQR8']"
ethylene biosynthetic process,Process,1.94e-08,"['3702.Q06402', '3702.Q37001', '3702.Q41931', '3702.Q43309', '3702.Q9M2Y8', '3702.Q9SAR0', '3702.Q9STR4', '3702.Q9T065']"
response to external stimulus,Process,2.01e-08,"['3702.F4I2N7', '3702.O23530', '3702.O49506', '3702.P19366', '3702.P22953', '3702.P25819', '3702.P33154', '3702.P37702', '3702.P46010', '3702.P46422', '3702.P56754', '3702.P93002', '3702.Q03250', '3702.Q07488', '3702.Q1PE40', '3702.Q24JJ8', '3702.Q39191', '3702.Q39214', '3702.Q42547', '3702.Q8L9V6', '3702.Q8LBY9', '3702.Q8LPS2', '3702.Q8RY71', '3702.Q8W493', '3702.Q94C26', '3702.Q96528', '3702.Q9C5C2', '3702.Q9C7X0', '3702.Q9FG67', '3702.Q9LJH5', '3702.Q9LRR9', '3702.Q9LRS0', '3702.Q9LV87', '3702.Q9S745', '3702.Q9S7H8', '3702.Q9SAR0', '3702.Q9SE33', '3702.Q9SIV0', '3702.Q9SPG2', '3702.Q9SU72', '3702.Q9SWA6', '3702.Q9XIE2', '3702.Q9XIF0', '3702.Q9ZQR8']"
photosystem II assembly,Process,3.31e-08,"['3702.O81208', '3702.P23321', '3702.P27202', '3702.P56777', '3702.Q9LR64', '3702.Q9S841', '3702.Q9SW65', '3702.Q9XF89']"
"regulation of photosynthesis, light reaction",Process,5.31e-08,"['3702.O49347', '3702.O80860', '3702.P23321', '3702.P56790', '3702.Q39194', '3702.Q9S7N7', '3702.Q9S841', '3702.Q9SW65']"
defense response to other organism,Process,2.08e-07,"['3702.F4I2N7', '3702.O23530', '3702.O49506', '3702.P19366', '3702.P22953', '3702.P33154', '3702.P37702', '3702.P93002', '3702.Q03250', '3702.Q1PE40', '3702.Q24JJ8', '3702.Q39191', '3702.Q39214', '3702.Q8LBY9', '3702.Q8LPS2', '3702.Q8RY71', '3702.Q8W493', '3702.Q9C5C2', '3702.Q9C7X0', '3702.Q9LJH5', '3702.Q9LRR9', '3702.Q9LV87', '3702.Q9S745', '3702.Q9S7H8', '3702.Q9SE33', '3702.Q9SIV0', '3702.Q9SPG2', '3702.Q9SU72', '3702.Q9SWA6', '3702.Q9XIE2', '3702.Q9ZQR8']"
systemic acquired resistance,Process,1.42e-06,"['3702.O23530', '3702.P33154', '3702.P93002', '3702.Q8LBY9', '3702.Q9S745', '3702.Q9S7H8', '3702.Q9SU72', '3702.Q9SWA6', '3702.Q9XIE2']"
defense response,Process,1.5e-06,"['3702.F4I2N7', '3702.O23530', '3702.O49506', '3702.P19366', '3702.P22953', '3702.P33154', '3702.P37702', '3702.P46422', '3702.P93002', '3702.Q03250', '3702.Q1PE40', '3702.Q24JJ8', '3702.Q39191', '3702.Q39214', '3702.Q41931', '3702.Q8LBY9', '3702.Q8LPS2', '3702.Q8RY71', '3702.Q8W493', '3702.Q94C26', '3702.Q9C5C2', '3702.Q9C7X0', '3702.Q9FGT2', '3702.Q9LJH5', '3702.Q9LRR9', '3702.Q9LV87', '3702.Q9S745', '3702.Q9S7H8', '3702.Q9SAR0', '3702.Q9SE33', '3702.Q9SIV0', '3702.Q9SPG2', '3702.Q9SU72', '3702.Q9SWA6', '3702.Q9XIE2', '3702.Q9XIF0', '3702.Q9ZQR8']"
small molecule metabolic process,Process,1.68e-06,"['3702.P19366', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P32961', '3702.P32962', '3702.P37702', '3702.P46010', '3702.P46283', '3702.P50318', '3702.Q01908', '3702.Q01909', '3702.Q06402', '3702.Q06429', '3702.Q37001', '3702.Q38814', '3702.Q43309', '3702.Q8L785', '3702.Q8RY71', '3702.Q8VYI3', '3702.Q944G9', '3702.Q96253', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9FF79', '3702.Q9FG67', '3702.Q9FN52', '3702.Q9LJH5', '3702.Q9LPW0', '3702.Q9LUT2', '3702.Q9M2Y8', '3702.Q9S7H8', '3702.Q9SAR0', '3702.Q9SI62', '3702.Q9SIV0', '3702.Q9STR4', '3702.Q9T065', '3702.Q9XIE2']"
photosystem II stabilization,Process,4.54e-06,"['3702.P23321', '3702.P56790', '3702.Q39194', '3702.Q9S841', '3702.Q9SW65']"
photosynthetic electron transport in photosystem II,Process,6.73e-06,"['3702.P56761', '3702.P56777', '3702.P56778', '3702.P83755', '3702.Q01908']"
defense response to bacterium,Process,8.08e-06,"['3702.O23530', '3702.O49506', '3702.P22953', '3702.P93002', '3702.Q1PE40', '3702.Q24JJ8', '3702.Q8LPS2', '3702.Q8RY71', '3702.Q9LJH5', '3702.Q9LRR9', '3702.Q9S745', '3702.Q9S7H8', '3702.Q9SE33', '3702.Q9SPG2', '3702.Q9SU72', '3702.Q9XIE2']"
immune system process,Process,1.37e-05,"['3702.F4I2N7', '3702.P93002', '3702.Q03250', '3702.Q1PE40', '3702.Q39214', '3702.Q42044', '3702.Q9LV87', '3702.Q9S745', '3702.Q9SE33', '3702.Q9SPG2', '3702.Q9SU72', '3702.Q9SWA6', '3702.Q9XIE2']"
innate immune response,Process,2.26e-05,"['3702.F4I2N7', '3702.P93002', '3702.Q03250', '3702.Q1PE40', '3702.Q39214', '3702.Q9LV87', '3702.Q9S745', '3702.Q9SE33', '3702.Q9SPG2', '3702.Q9SU72', '3702.Q9SWA6', '3702.Q9XIE2']"
"photosynthesis, light harvesting in photosystem II",Process,2.83e-05,"['3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9SHR7', '3702.Q9XF87']"
cellular response to sulfate starvation,Process,3.26e-05,"['3702.P25819', '3702.P46010', '3702.P56754', '3702.Q42547', '3702.Q96528']"
response to chemical,Process,3.26e-05,"['3702.O03042', '3702.O23530', '3702.O48646', '3702.P0CJ48', '3702.P21218', '3702.P22953', '3702.P25819', '3702.P25856', '3702.P25857', '3702.P25863', '3702.P32961', '3702.P32962', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46010', '3702.P46422', '3702.P83755', '3702.P92973', '3702.P93002', '3702.Q03250', '3702.Q07488', '3702.Q37001', '3702.Q39084', '3702.Q39191', '3702.Q41931', '3702.Q42547', '3702.Q8L9V6', '3702.Q8LPS2', '3702.Q8RY71', '3702.Q8W4K5', '3702.Q944G9', '3702.Q94C26', '3702.Q96528', '3702.Q9C5C2', '3702.Q9FG67', '3702.Q9FGT2', '3702.Q9FMA3', '3702.Q9LKL2', '3702.Q9LV87', '3702.Q9S745', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9SAR0', '3702.Q9SHR7', '3702.Q9SU72', '3702.Q9SVB7', '3702.Q9XF87', '3702.Q9XIE2', '3702.Q9ZQR8']"
response to bacterium,Process,4.45e-05,"['3702.O23530', '3702.O49506', '3702.P22953', '3702.P93002', '3702.Q1PE40', '3702.Q24JJ8', '3702.Q8LPS2', '3702.Q8RY71', '3702.Q94C26', '3702.Q9LJH5', '3702.Q9LRR9', '3702.Q9S745', '3702.Q9S7H8', '3702.Q9SE33', '3702.Q9SPG2', '3702.Q9SU72', '3702.Q9XIE2']"
glucose metabolic process,Process,4.72e-05,"['3702.P25851', '3702.P25856', '3702.P25857', '3702.P46283', '3702.P50318', '3702.Q944G9', '3702.Q9LPW0']"
response to oxygen-containing compound,Process,5.67e-05,"['3702.O03042', '3702.O23530', '3702.P0CJ48', '3702.P25819', '3702.P25856', '3702.P25857', '3702.P25863', '3702.P33154', '3702.P37702', '3702.P93002', '3702.Q03250', '3702.Q39084', '3702.Q39191', '3702.Q41931', '3702.Q42547', '3702.Q8L9V6', '3702.Q8LPS2', '3702.Q8RY71', '3702.Q944G9', '3702.Q94C26', '3702.Q96528', '3702.Q9C5C2', '3702.Q9FG67', '3702.Q9LV87', '3702.Q9S745', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9SAR0', '3702.Q9SHR7', '3702.Q9SU72', '3702.Q9XF87', '3702.Q9XIE2', '3702.Q9ZQR8']"
response to insect,Process,5.73e-05,"['3702.P37702', '3702.P93002', '3702.Q8L9V6', '3702.Q9FG67', '3702.Q9S745', '3702.Q9SPG2']"
